"date_sample","sample_source","sample_id","analyte","value_qualifier","analyte_value","value_units","source_description"
"2025-01-01","206 SYS","W1729476","Fluoride","","0.776","MG/L","1055 Catalina Blvd @ Fire Station Sample Stanchion"
"2025-01-02","119 SYS","W1729381","pH","","7.985","PH","Lower Otay Recreation"
"2025-01-02","251 SYS","W1729312","Fluoride","","0.602","MG/L","5840 Ravenswood Rd."
"2025-01-02","300 SYS","W1729331","Chlorate","","156.0","UG/L","5368 Topsail Drive"
"2025-01-02","300 SYS","W1729331","Chlorite","","326.0","UG/L","5368 Topsail Drive"
"2025-01-03","171 SYS","W1729442","Fluoride","","0.803","MG/L","6541 Broadway"
"2025-01-04","208A SYS","W1729483","Fluoride","","0.763","MG/L","Across from 6236 Wenrich"
"2025-01-05","50A SYS","W1729488","Fluoride","","0.781","MG/L","2693 Melbourne Dr."
"2025-01-06","304 SYS","W1740066","Fluoride","","0.608","MG/L","14462 Garden Trail"
"2025-01-07","229 SYS","W1740247","Fluoride","","0.602","MG/L","Carmel Park Dr/Del Mar Glen @ Public School"
"2025-01-07","284 SYS","W1740301","Chlorate","","122.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2025-01-07","284 SYS","W1740301","Chlorite","","329.0","UG/L","Ocean View Hills Pkwy and Sea Drift Way"
"2025-01-08","215 SYS","W1740455","Fluoride","","0.615","MG/L","Across from 5105 Soledad Rd."
"2025-01-08","OT COMB FILTER","W1740390","pH","","7.69","PH","OT FP Filter Combined Filter Effluent"
"2025-01-08","OT COMB FILTER","W1740390","Total THMs","","4.51","UG/L","OT FP Filter Combined Filter Effluent"
"2025-01-08","OT FILTER 1-8","W1740388","pH","","7.78","PH","OT FP Filters 1-8"
"2025-01-08","OT FILTER 1-8","W1740388","Total THMs","","4.55","UG/L","OT FP Filters 1-8"
"2025-01-08","OT FILTER 9-16","W1740389","pH","","7.69","PH","OT FP Filters  9-16"
"2025-01-08","OT FILTER 9-16","W1740389","Total THMs","","4.36","UG/L","OT FP Filters  9-16"
"2025-01-08","OT SETTLED","W1740387","pH","","7.84","PH","OT FP Settled"
"2025-01-08","OT SETTLED","W1740387","Total THMs","","5.02","UG/L","OT FP Settled"
"2025-01-09","119 SYS","W1740518","pH","","8.11","PH","Lower Otay Recreation"
"2025-01-09","277A SYS","W1740522","Fluoride","","0.624","MG/L"," 12241 Camino Del Sur"
"2025-01-10","205 SYS","W1740629","Fluoride","","0.597","MG/L","close to 1856 Manzana Way; Sample Stanchion"
"2025-01-11","155 SYS","W1729566","Fluoride","","0.679","MG/L","Adams & Marlborough"
"2025-01-12","242 SYS","W1729571","Fluoride","","0.717","MG/L","7260 Barker Way"
"2025-01-13","249A SYS","W1745277","Fluoride","","0.6","MG/L","6429 Glidden St.; Sample Stanchion"
"2025-01-14","131 SYS","W1745846","Fluoride","","0.551","MG/L","E Park Ave/San Ysidro Blvd;Sample Stanchion"
